date,1. open,2. high,3. low,4. close,5. volume
2020-04-29 12:27:00,90.15,90.205,90.15,90.17,5561.0
2020-04-29 12:28:00,90.17,90.17,90.125,90.16,6069.0
2020-04-29 12:29:00,90.165,90.17,90.12,90.13,13155.0
2020-04-29 12:30:00,90.14,90.16,90.12,90.125,9234.0
2020-04-29 12:31:00,90.11,90.135,90.0852,90.1,11295.0
2020-04-29 12:32:00,90.115,90.14,90.1005,90.14,16195.0
2020-04-29 12:33:00,90.1362,90.17,90.08,90.115,22971.0
2020-04-29 12:34:00,90.115,90.115,90.05,90.09,3247.0
2020-04-29 12:35:00,90.085,90.14,90.085,90.14,8718.0
2020-04-29 12:36:00,90.145,90.18,90.13,90.145,6600.0
2020-04-29 12:37:00,90.14,90.21,90.14,90.2,4495.0
2020-04-29 12:38:00,90.21,90.25,90.21,90.2375,4891.0
2020-04-29 12:39:00,90.24,90.2815,90.2344,90.26,6889.0
2020-04-29 12:40:00,90.25,90.25,90.185,90.21,11515.0
2020-04-29 12:41:00,90.21,90.21,90.13,90.14,17243.0
2020-04-29 12:42:00,90.14,90.18,90.14,90.16,9479.0
2020-04-29 12:43:00,90.17,90.17,90.1,90.14,12493.0
2020-04-29 12:44:00,90.15,90.17,90.13,90.15,4835.0
2020-04-29 12:45:00,90.135,90.14,90.115,90.115,4787.0
2020-04-29 12:46:00,90.125,90.14,90.07,90.08,11830.0
2020-04-29 12:47:00,90.08,90.08,90.0245,90.035,24040.0
2020-04-29 12:48:00,90.04,90.08,90.01,90.02,3545.0
2020-04-29 12:49:00,90.03,90.06,90.01,90.05,3503.0
2020-04-29 12:50:00,90.065,90.065,89.96,90.0056,13228.0
2020-04-29 12:51:00,89.99,90.055,89.99,90.05,3027.0
2020-04-29 12:52:00,90.039,90.1092,90.02,90.08,8694.0
2020-04-29 12:53:00,90.07,90.0733,90.02,90.055,3354.0
2020-04-29 12:54:00,90.06,90.09,90.02,90.08,10969.0
2020-04-29 12:55:00,90.08,90.18,90.08,90.11,12039.0
2020-04-29 12:56:00,90.115,90.13,90.075,90.102,11007.0
2020-04-29 12:57:00,90.11,90.15,90.05,90.05,8034.0
2020-04-29 12:58:00,90.05,90.06,90.0059,90.01,6008.0
2020-04-29 12:59:00,90.02,90.02,89.99,89.99,9369.0
2020-04-29 13:00:00,89.96,90.02,89.93,90.0159,4550.0
2020-04-29 13:01:00,90.04,90.1194,90.03,90.08,5313.0
2020-04-29 13:02:00,90.09,90.09,90.0,90.015,11824.0
2020-04-29 13:03:00,90.01,90.018,89.97,90.01,9544.0
